number,street,unit,city,postcode,lon,lat
2531,MARIN AVE,,BERKELEY,94708,-122.2641629,37.8956228
900,HILLDALE AVE,,BERKELEY,94708,-122.2635726,37.8956587
956,HILLDALE AVE,,BERKELEY,94708,-122.2630597,37.8937724
50,BONNIE LN,,BERKELEY,94708,-122.2649776,37.8959835
998,HILLDALE AVE,,BERKELEY,94708,-122.2634948,37.8930787
14,BONNIE LN,,BERKELEY,94708,-122.2643874,37.8958106
958,HILLDALE AVE,,BERKELEY,94708,-122.2631122,37.8936432
952,HILLDALE AVE,,BERKELEY,94708,-122.2629903,37.8938659
946,HILLDALE AVE,,BERKELEY,94708,-122.2629761,37.8941126
966,HILLDALE AVE,,BERKELEY,94708,-122.2633161,37.8932961
931,REGAL RD,,BERKELEY,94708,-122.2634208,37.8940175
948,HILLDALE AVE,,BERKELEY,94708,-122.262913,37.8939441
860,HILLDALE AVE,,BERKELEY,94708,-122.2639106,37.895884
830,HILLDALE AVE,,BERKELEY,94708,-122.2643218,37.8962015
876,HILLDALE AVE,,BERKELEY,94708,-122.2638261,37.895801
924,HILLDALE AVE,,BERKELEY,94708,-122.2629641,37.8949099
933,REGAL RD,,BERKELEY,94708,-122.2633892,37.8938644
923,EUCLID AVE,,BERKELEY,94708,-122.2634145,37.8944058
920,HILLDALE AVE,,BERKELEY,94708,-122.2632338,37.8948537
936,HILLDALE AVE,,BERKELEY,94708,-122.2629585,37.8945258
940,HILLDALE AVE,,BERKELEY,94708,-122.2629489,37.8943153
921,EUCLID AVE,,BERKELEY,94708,-122.2634425,37.8945203
854,HILLDALE AVE,,BERKELEY,94708,-122.2640129,37.8959628
84,BONNIE LN,,BERKELEY,94708,-122.2646146,37.8963437
800,HILLDALE AVE,,BERKELEY,94708,-122.264453,37.8963979
906,HILLDALE AVE,,BERKELEY,94708,-122.263393,37.8954876
932,HILLDALE AVE,,BERKELEY,94708,-122.262944,37.8946665
928,HILLDALE AVE,,BERKELEY,94708,-122.2629297,37.8947807
918,HILLDALE AVE,,BERKELEY,94708,-122.2631506,37.8950632
941,HILLDALE AVE,,BERKELEY,94708,-122.2622579,37.8943753
998,KEELER AVE,,BERKELEY,94708,-122.2612329,37.8941405
945,HILLDALE AVE,,BERKELEY,94708,-122.2623845,37.8941238
954,KEELER AVE,,BERKELEY,94708,-122.2616992,37.8951832
964,KEELER AVE,,BERKELEY,94708,-122.2617686,37.8949293
939,HILLDALE AVE,,BERKELEY,94708,-122.2624195,37.89443
,HILLDALE AVE,,BERKELEY,94708,-122.2623429,37.8948155
963,MILLER AVE,,BERKELEY,94708,-122.2621013,37.8940479
,FOREST LN,,BERKELEY,94708,-122.2620891,37.8951055
60,FOREST LN,,BERKELEY,94708,-122.2617413,37.8953234
18,FOREST LN,,BERKELEY,94708,-122.2622218,37.8950501
981,MILLER AVE,,BERKELEY,94708,-122.2615196,37.8941229
943,HILLDALE AVE,,BERKELEY,94708,-122.2623345,37.8942411
960,KEELER AVE,,BERKELEY,94708,-122.261698,37.89505
966,KEELER AVE,,BERKELEY,94708,-122.2617872,37.8948049
933,HILLDALE AVE,,BERKELEY,94708,-122.2623138,37.8947058
50,FOREST LN,,BERKELEY,94708,-122.2619419,37.8951634
976,KEELER AVE,,BERKELEY,94708,-122.2617389,37.894589
